STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20253,11110515,청운효자동,CS100001,한식음식점,3426115142.0,98583.0,2583559905.0,842555237.0,515855360.0,483709567.0,494895950.0,524258350.0,564840678.0,558764693.0,283790544.0,28478979.0,48272796.0,1373768986.0,357911534.0,1237500460.0,380182387.0,1423832259.0,1142242114.0,8125813.0,328156229.0,622788091.0,483342815.0,598767325.0,524894096.0,74051.0,24532.0,14715.0,14344.0,14431.0,15462.0,15099.0,15114.0,9418.0,195.0,2198.0,52241.0,14753.0,26138.0,3058.0,46267.0,40126.0,499.0,12840.0,21835.0,17086.0,18394.0,15721.0
20253,11110515,청운효자동,CS100003,일식음식점,436919055.0,14125.0,297318267.0,139600788.0,36346929.0,71125007.0,51892177.0,68336541.0,69617613.0,90225592.0,49375196.0,17713169.0,592324.0,159910565.0,42353071.0,116479758.0,99870168.0,189395215.0,212549934.0,3910748.0,98653789.0,153308543.0,64011647.0,54809886.0,27250537.0,10454.0,3671.0,1089.0,2680.0,1978.0,2463.0,2244.0,2207.0,1464.0,151.0,27.0,8515.0,2118.0,2421.0,893.0,6012.0,7223.0,288.0,3084.0,3893.0,2322.0,2351.0,1299.0
20253,11110515,청운효자동,CS100004,양식음식점,2372452952.0,41937.0,1514085865.0,858367087.0,154638326.0,278770706.0,299474736.0,331316966.0,449885131.0,533647171.0,324719916.0,6906163.0,38795859.0,675794951.0,394082475.0,942540328.0,314333176.0,813624959.0,1227483194.0,5624511.0,445503114.0,717419676.0,405591652.0,290066147.0,176903054.0,26266.0,15671.0,3183.0,5460.0,5484.0,5592.0,6547.0,8894.0,6777.0,73.0,2368.0,14186.0,8741.0,14358.0,2211.0,12681.0,26123.0,198.0,9397.0,12821.0,7724.0,5824.0,2833.0
20253,11110515,청운효자동,CS100005,제과점,405534986.0,27286.0,263873924.0,141661062.0,43174065.0,41541551.0,60454054.0,61118337.0,57585917.0,81194135.0,60466927.0,0.0,30726002.0,118019997.0,115590350.0,123372246.0,17826391.0,133216076.0,214619481.0,1689873.0,41672636.0,84535368.0,71232255.0,82033671.0,66671755.0,17384.0,9902.0,2952.0,3477.0,3397.0,3561.0,3997.0,5346.0,4556.0,0.0,2616.0,7650.0,8680.0,7906.0,434.0,9587.0,16404.0,276.0,4087.0,6555.0,5264.0,5506.0,4298.0
20253,11110515,청운효자동,CS100007,치킨전문점,111455882.0,3359.0,77062037.0,34393845.0,9566640.0,16545640.0,14102664.0,16918399.0,19928694.0,18826552.0,15567293.0,727012.0,87318.0,9371597.0,11435127.0,62941666.0,26893162.0,56930744.0,42765735.0,667303.0,9445038.0,18923985.0,18083232.0,31542265.0,21034653.0,2307.0,1052.0,317.0,496.0,446.0,418.0,630.0,562.0,490.0,19.0,5.0,325.0,382.0,2005.0,623.0,1766.0,1409.0,35.0,342.0,605.0,605.0,951.0,641.0
20253,11110515,청운효자동,CS100008,분식전문점,311376048.0,27929.0,214477574.0,96898474.0,36715182.0,50224755.0,38679936.0,43201134.0,45656567.0,45967309.0,50931165.0,0.0,14321535.0,151128292.0,62438772.0,83487449.0,0.0,90537122.0,202808978.0,2737184.0,75631784.0,86963140.0,50048116.0,47935340.0,30030534.0,19580.0,8349.0,3359.0,3981.0,3819.0,4017.0,4404.0,3821.0,4528.0,0.0,1461.0,13413.0,5788.0,7267.0,0.0,7924.0,19336.0,307.0,7468.0,8928.0,4111.0,3680.0,2768.0
20253,11110515,청운효자동,CS100009,호프-간이주점,153735597.0,3580.0,93584127.0,60151470.0,9929278.0,15455145.0,16621427.0,26340079.0,25238198.0,34182873.0,25968597.0,22304579.0,461170.0,7443235.0,5118507.0,36874458.0,81533648.0,67270312.0,76366781.0,1035011.0,40586611.0,57605928.0,15262164.0,19252290.0,9895087.0,2485.0,1095.0,357.0,488.0,429.0,613.0,598.0,673.0,422.0,284.0,68.0,735.0,314.0,784.0,1395.0,1464.0,1976.0,16.0,878.0,1289.0,413.0,607.0,237.0
20253,11110515,청운효자동,CS100010,커피-음료,4195134430.0,293013.0,2897027346.0,1298107084.0,880249167.0,480629833.0,470301674.0,505296915.0,560549757.0,678645719.0,619461365.0,2494191.0,419138317.0,1223568269.0,1403905501.0,1049302492.0,96725660.0,1535886832.0,2369336397.0,20634880.0,899904766.0,1090427597.0,639352556.0,915314614.0,339588829.0,203406.0,89607.0,38633.0,41828.0,37881.0,42869.0,42195.0,46219.0,43388.0,88.0,55185.0,98137.0,91754.0,46640.0,1209.0,95681.0,181389.0,1565.0,63153.0,89758.0,53536.0,47644.0,21421.0
20253,11110515,청운효자동,CS200001,일반교습학원,162234804.0,487.0,155621613.0,6613191.0,33065953.0,2604105.0,82985095.0,0.0,36966460.0,0.0,6613191.0,0.0,16200190.0,0.0,61053473.0,70914172.0,14066969.0,29201578.0,133033226.0,0.0,0.0,2047019.0,144496090.0,15691695.0,0.0,443.0,44.0,88.0,7.0,251.0,0.0,97.0,0.0,44.0,0.0,52.0,0.0,198.0,186.0,51.0,126.0,361.0,0.0,0.0,15.0,405.0,67.0,0.0
20253,11110515,청운효자동,CS200005,스포츠 강습,77755189.0,391.0,76381293.0,1373896.0,38681800.0,8561966.0,5838622.0,10591676.0,12707229.0,0.0,1373896.0,0.0,0.0,0.0,9273798.0,68481391.0,0.0,31769382.0,45985807.0,0.0,0.0,0.0,53969169.0,23786020.0,0.0,377.0,14.0,162.0,49.0,33.0,35.0,98.0,0.0,14.0,0.0,0.0,0.0,54.0,337.0,0.0,172.0,219.0,0.0,0.0,0.0,250.0,141.0,0.0
